Station Name,ZIP,Latitude,Longitude
LADWP - Truesdale Center,91352,34.24831915,-118.3879714
LADWP - West LA District Office,90024,34.052542,-118.448504
Los Angeles Convention Center,90015,34.040539,-118.271387
LADWP - John Ferraro Building,90012,34.059133,-118.248589
LADWP - Haynes Power Plant,90803,33.759802,-118.096665
State Capitol Parking Garage,95814,38.576769,-121.495022
LADWP - Harbor Generating Station,90744,33.770508,-118.265628
LADWP - Sylmar West,91342,34.30309,-118.480505
LADWP - EV Service Center,90012,34.066801,-118.227605
LADWP - Fairfax Center,90016,34.036777,-118.368841
California Air Resources Board,91731,34.06872,-118.064
LADWP - Palmetto Center,90013,34.039736,-118.236065
Scripps Green Hospital,92037,32.89947,-117.243
Galpin Motors,91343,34.221665,-118.468371
Galleria at Tyler,92503,33.909914,-117.459053
City of Pasadena - Holly Street Garage,91103,34.14762,-118.147111
City of Pasadena - De Lacey Garage,91105,34.145138,-118.152655
City of Pasadena - Schoolhouse Garage,91105,34.145119,-118.150133
Pasadena Hilton,91101,34.142973,-118.140553
Bristol Farms,91030,34.118433,-118.149597
Hyatt Regency Long Beach,90802,33.7637,-118.192
Los Angeles International Airport (LAX) - Lot 6,90045,33.94325,-118.403342
Northridge Fashion Center - Yard House,91324,34.241116,-118.556708
Ontario Airport Hotel and Conference Center,91764,34.07122,-117.575
Courtyard Marriott - Oxnard Ventura,93030,34.228315,-119.170865
Hilton - Palm Springs,92262,33.824004,-116.543589
East Bay Mini,94588,37.700187,-121.876172
Inland Empire Foods,92509,34.0189,-117.38
Sacramento International Airport - Daily A Lot,95837,38.69005,-121.58889
City of Santa Monica - Airport,90405,34.017081,-118.44704
City of Santa Monica - Pier,90405,34.010021,-118.49583
Westfield Fashion Square,91423,34.156839,-118.434454
Universal City Hilton,91608,34.138717,-118.35904
Van Nuys Amtrak/Metrolink Station,91405,34.21108,-118.448704
Office Max - Home Depot,90241,33.94756,-118.153806
Hyatt at Fisherman's Wharf,94133,37.80619,-122.4152
Arden Fair Mall,95815,38.599693,-121.427045
Japan Center Garage,94115,37.784912,-122.430237
Palace Hotel,94105,37.78881,-122.401
Mark Hopkins InterContinental Hotel,94108,37.791791,-122.411265
Hotel Sofitel,90048,34.076264,-118.377527
Music Center Parking - Level 2,90012,34.057657,-118.24789
Balboa Golf Course,91436,34.169242,-118.497212
California State University - Northridge,91330,34.248959,-118.523887
California State University - Northridge,91330,34.241687,-118.528543
California State University - Northridge,91330,34.236853,-118.532588
Northridge Metrolink Station,91324,34.229277,-118.544827
Los Angeles Harbor Department Headquarters,90731,33.740758,-118.28192
Sylmar Metrolink Station,91342,34.2924134,-118.4497914
Getty Center,90049,34.077588,-118.474585
Los Angeles County - Arboretum,91007,34.145528,-118.050548
City of Glendora - City Hall,91741,34.13556,-117.864
DoubleTree Hotel - Los Angeles - Westside,90230,33.9826,-118.3966
Helms Bakery Building,90034,34.029971,-118.385231
Westfield MainPlace Mall,92705,33.777054,-117.870566
California State University - Channel Islands,93012,34.16657602,-119.0458547
Brea Downtown Parking,92821,33.919899,-117.898618
Home Depot,91320,34.192178,-118.934793
Lake Casitas Municipal Water District - Recreational Area,93022,34.418322,-119.3368
San Dimas Park & Ride,91773,34.105275,-117.809208
City of Pasadena - El Molino Lot,91101,34.147709,-118.136621
Ventura County Government Center,93009,34.267352,-119.2124
Ventura County Air Pollution Control District,93003,34.268756,-119.2154
Pacific View Mall,93003,34.268,-119.2492
LADWP - Scattergood Generating Facility,90293,33.917593,-118.425334
Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,91706,34.089085,-117.95463
Los Angeles Department of Public Works - Hollydale Construction Permit Office,90242,33.92364288,-118.1678308
Los Angeles Department of Public Works - Imperial Maintenance Yard,90280,33.930663,-118.175758
University of California - Davis Extension - Lot 80,95616,38.539336,-121.732405
San Luis Obispo County Air Pollution Control District,93401,35.25939,-120.64492
Soquel & Front Garage,95061,36.973393,-122.024849
LADWP - Wilmington District Yard,90744,33.773005,-118.265821
Fair Oaks - Orangevale - Community Library,95628,38.66292,-121.2634
Sutter Galleria Mall - University of California - Davis Extension,95816,38.57277,-121.467902
North Highlands Library,95843,38.7042,-121.365
Gateway Oaks Metro Center,95833,38.615468,-121.517263
University of California - Davis - Medical Center,95817,38.552483,-121.4487
City of Sacramento - Belle Cooledge Library,95822,38.524403,-121.5112
Mosquito Road Park and Ride,95667,38.73323,-120.78962
City of Vacaville - Cultural Center,95687,38.356027,-121.9628
Stars Recreation Center,95688,38.36557,-121.967
City of Vacaville - Regional Transport Center,95688,38.35172,-121.987
Office of Housing & Redevelopment,95688,38.356907,-122.001886
KUIC Radio - Parking Lot,95688,38.355867,-121.9862
City of Vacaville - City Hall,95688,38.351758,-121.994475
Citrus Heights City Hall,95621,38.682605,-121.297614
Pitt School Plaza,95620,38.457369,-121.842567
El Dorado County Government Center,95667,38.72799,-120.828
El Dorado Transit Park & Ride,95762,38.6476,-121.067
Elk Grove Kia,95758,38.40553,-121.391
CVS Pharmacy,95746,38.74453,-121.17
Carmichael Library,95608,38.618066,-121.334337
Burlington International Airport,5403,44.469281,-73.154972
Rio Vista City Hall,94571,38.15485,-121.69
Fairfield City Hall,94533,38.25281,-122.044229
Solano Community College,94534,38.23723,-122.123
Vallejo Ferry Terminal,94590,38.105062,-122.265895
Los Angeles International Airport (LAX) - Lot 1,90045,33.944761,-118.399767
City of Vacaville - Police Headquarters,95688,38.35109,-121.993654
Southern California Edison - Sacramento Office,95831,38.578568,-121.491058
Burlington International Airport,5403,44.469281,-73.154972
LADWP - Boylston,90026,34.059047,-118.256812
LADWP - Central District,90015,34.033898,-118.256673
LADWP - Lincoln Heights District,90031,34.081998,-118.21713
