ENTITY,CODE,YEAR,ANNUALCO2EMISSION
United States,USA,1800,253000
United States,USA,1801,267000
United States,USA,1802,289000
United States,USA,1803,297000
United States,USA,1804,333000
United States,USA,1805,341000
United States,USA,1806,333000
United States,USA,1807,377000
United States,USA,1808,392000
United States,USA,1809,403000
United States,USA,1810,418000
United States,USA,1811,447000
United States,USA,1812,484000
United States,USA,1813,520000
United States,USA,1814,561000
United States,USA,1815,601000
United States,USA,1816,663000
United States,USA,1817,718000
United States,USA,1818,780000
United States,USA,1819,762000
United States,USA,1820,791000
United States,USA,1821,828000
United States,USA,1822,865000
United States,USA,1823,901000
United States,USA,1824,1010000
United States,USA,1825,1140000
United States,USA,1826,1320000
United States,USA,1827,1450000
United States,USA,1828,1590000
United States,USA,1829,1800000
United States,USA,1830,2090000
United States,USA,1831,2260000
United States,USA,1832,3020000
United States,USA,1833,3530000
United States,USA,1834,3380000
United States,USA,1835,4320000
United States,USA,1836,4730000
United States,USA,1837,5310000
United States,USA,1838,5030000
United States,USA,1839,5520000
United States,USA,1840,5870000
United States,USA,1841,6210000
United States,USA,1842,6920000
United States,USA,1843,7760000
United States,USA,1844,9310000
United States,USA,1845,11200000
United States,USA,1846,12700000
United States,USA,1847,15100000
United States,USA,1848,16800000
United States,USA,1849,18200000
United States,USA,1850,19800000
United States,USA,1851,24600000
United States,USA,1852,26800000
United States,USA,1853,30200000
United States,USA,1854,33200000
United States,USA,1855,38200000
United States,USA,1856,40000000
United States,USA,1857,41100000
United States,USA,1858,41600000
United States,USA,1859,45300000
United States,USA,1860,47400000
United States,USA,1861,45700000
United States,USA,1862,47400000
United States,USA,1863,54800000
United States,USA,1864,58700000
United States,USA,1865,58800000
United States,USA,1866,59200000
United States,USA,1867,72900000
United States,USA,1868,82400000
United States,USA,1869,93700000
United States,USA,1870,98600000
United States,USA,1871,103000000
United States,USA,1872,126000000
United States,USA,1873,140000000
United States,USA,1874,134000000
United States,USA,1875,136000000
United States,USA,1876,133000000
United States,USA,1877,147000000
United States,USA,1878,144000000
United States,USA,1879,175000000
United States,USA,1880,199000000
United States,USA,1881,210000000
United States,USA,1882,235000000
United States,USA,1883,254000000
United States,USA,1884,268000000
United States,USA,1885,272000000
United States,USA,1886,287000000
United States,USA,1887,307000000
United States,USA,1888,374000000
United States,USA,1889,336000000
United States,USA,1890,402000000
United States,USA,1891,427000000
United States,USA,1892,450000000
United States,USA,1893,454000000
United States,USA,1894,425000000
United States,USA,1895,480000000
United States,USA,1896,481000000
United States,USA,1897,500000000
United States,USA,1898,545000000
United States,USA,1899,626000000
